Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
Banana Beach Bar,3.7,1014,"Continental, Chinese","Chicken Wings, Cocktails, Mocktails, Chilli Chicken, Noodles, Burgers, Spring Roll",Koramangala 6th Block,Yes,Bar,Delivery
12th Main - Grand Mercure,4.1,353,"European, Asian","Halwa, Waffles, Chaat, Pasta, Coffee, Creme Brulee, Salads",Koramangala 3rd Block,No,Fine Dining,Buffet
Bottle Breacher,4.2,1192,"Italian, Continental","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos",JP Nagar,No,"Casual Dining, Pub",Delivery
Euki,4.1,553,"Italian, Mexican","Pasta, Pizza, Nachos, Tiramisu, Peri Peri Fries, Mexican Bowl, Mocktails",Jayanagar,Yes,Casual Dining,Delivery
Bombay Adda,4.5,2225,Modern Indian,"Nachos, Cocktails, Chicken Tikka, Nasi Goreng, Pav Bhaji Fondue, Tiramisu, Samosa",Koramangala 7th Block,No,"Casual Dining, Bar",Drinks & nightlife
Little Lucknow,4,235,"Mughlai, North Indian","Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken",Koramangala 5th Block,Yes,Casual Dining,Dine-out
Gam's Delicacy,4.2,325,"North Indian, Chinese, Assamese","Fish, Veg Thali, Bamboo Shoot Pork, Pork Fry, Kheer, Pork Thali, Clear Soup",Koramangala 7th Block,Yes,Casual Dining,Dine-out
Marwa Restaurant,3.5,551,"North Indian, Chinese, Fast Food, BBQ","Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry",Bannerghatta Road,Yes,Casual Dining,Dine-out
1722 Urban Bistro,4.1,218,"North Indian, Chinese, Fast Food, Biryani","Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop",Koramangala 5th Block,Yes,Casual Dining,Delivery
Salt - Indian Restaurant Bar & Grill,4.4,677,"North Indian, Mughlai, Biryani","Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani",Koramangala 7th Block,Yes,Casual Dining,Dine-out
Public - The Rooftop Bar And Kitchen,4.3,956,"North Indian, South Indian, Andhra, Chinese","Cocktails, Butter Chicken, Beer, Biryani, Tandoori Chicken, Nachos, Roti",Bannerghatta Road,No,"Casual Dining, Bar",Dine-out
Kesariya,4.2,1214,Rajasthani,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",JP Nagar,No,Casual Dining,Delivery
Village - The Soul of India,4.1,2456,"Rajasthani, Gujarati, North Indian, South Indian","Chaat, Pav Bhaji, Pakoda, Phirni, Veg Buffet, Jalebi, Gulab Jamun",JP Nagar,No,Casual Dining,Buffet
46 Ounces Brewgarden,0,0,"Bar Food, Finger Food, Pizza","Pizza, Craft Beer, French Fries",Electronic City,No,Microbrewery,Dine-out
The Big Barbeque,4.7,524,"BBQ, North Indian, Continental, Chinese","Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap",Electronic City,No,Casual Dining,Buffet
Pallavi Restaurant,3.8,490,"Biryani, Chinese, Andhra",Biryani,Electronic City,Yes,Casual Dining,Delivery
Salted Chilli,3.7,50,"Biryani, North Indian, Chinese",,Electronic City,Yes,Casual Dining,Delivery
Dine Garden Family Restaurant,3.5,60,"Biryani, South Indian, North Indian, Chinese",,Electronic City,Yes,Quick Bites,Delivery
The Dining Table - Sahar Pavillion,3.7,74,"Chinese, Continental, North Indian, Pizza, South Indian","Biryani, Salads, Pasta, Cheese Balls",Electronic City,No,"Casual Dining, Bar",Buffet
Tap House Resto Bar,3.4,184,"Chinese, North Indian, Thai",Masala Papad,Electronic City,Yes,"Casual Dining, Bar",Delivery
East- The Oterra,4,54,"Chinese, Vietnamese, Thai, Malaysian",Wasabi Prawns,Electronic City,No,Fine Dining,Dine-out
Lobby Cafe - Radha Regent,3.7,177,"Continental, American, South Indian, Italian, North Indian, Chinese","Fish, Salads, Dal Makhani, Burgers, Lunch Buffet",Electronic City,No,Casual Dining,Buffet
Aura - Radha Regent,3.6,116,"Continental, American, South Indian, Italian, North Indian, Chinese","Friendly Service, Friendly Staff",Electronic City,No,Bar,Drinks & nightlife
Fire Station,4.4,808,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese","Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka",Electronic City,No,"Pub, Casual Dining",Buffet
Bazaar - Zone By The Park,4,415,"Continental, South Indian, North Indian, Asian","Salads, Chicken Tikka, Roti, Gulab Jamun, Lunch Buffet, Pasta, Salad",Electronic City,No,Casual Dining,Dine-out
The Terminus - The Oterra,4,119,"Finger Food, Continental","Cocktails, Kulfi, Onion Rings, Chicken Wings, Draught Beer",Electronic City,No,Lounge,Drinks & nightlife
Z-Bar,4.1,410,"Finger Food, North Indian","Cocktails, Tandoori Chicken, Wine, Ice Tea, French Fries, Masala Peanuts",Electronic City,No,Bar,Pubs and bars
Alloro - The Oterra,4,63,Italian,"Pasta, Pizza, Tiramisu, Minestrone Soup, Mushroom Risotto, Clear Soup, Wine",Electronic City,No,Fine Dining,Dine-out
Kittu's,4.2,800,North Indian,"Murgh Lababdar, Butter Chicken, Paneer Lababdar, Dal Makhani, Afghan Chicken, Chicken Achari Tikka, Lassi",Electronic City,Yes,Casual Dining,Dine-out
24@43 - The Oterra,4.1,268,"North Indian, Asian, Continental","Sunday Brunch, Tea, Salads, Vegetable Biryani, Momos, Pasta, Wine",Electronic City,No,Fine Dining,Buffet
Sitaar,3.8,88,"North Indian, Chinese",,Electronic City,Yes,Casual Dining,Delivery
Akkad Bakkad,3.9,72,"North Indian, Chinese","Bhuna Chicken, Mutton Biryani, Paratha",Electronic City,Yes,Casual Dining,Delivery
New Punjabi Food Corner,4,960,"North Indian, Chinese","Butter Chicken, Rumali Roti, Ghee Rice, Chicken Biryani, Panneer Butter Masala, Sweet Lassi, Lemon Chicken",Electronic City,Yes,Quick Bites,Delivery
Foodie Nation,3.5,89,"North Indian, Chinese, Arabian",,Electronic City,Yes,Casual Dining,Delivery
Spotlight - The Golden Tulip,2.5,118,"North Indian, Chinese, Continental","Salads, Gulab Jamun, Fish Curry, Lunch Buffet",Electronic City,No,Casual Dining,Dine-out
Melange - Hotel Ekaa,3.2,426,"North Indian, Chinese, Continental, Mangalorean","Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food",Electronic City,Yes,Casual Dining,Dine-out
Food Ras,4.3,1386,"North Indian, Chinese, Japanese, European, Seafood","Chicken Majestic, Lasagne, Hara Bhara Kabab, Lassi, Biryani, Paneer Tikka, Fish",Electronic City,Yes,Casual Dining,Delivery
Queens,4.3,169,"North Indian, Continental, British","Cocktails, Fries, Dal Makhani, Panneer Butter Masala, Chicken Nachos",Electronic City,No,Bar,Drinks & nightlife
The Rasoiya Street,4.2,1137,"North Indian, Continental, Mediterranean, Chinese","Buttermilk, Pasta, Achari Mushroom, Paneer Tikka, Nachos, Noodles, Baked Nacho",Electronic City,Yes,Casual Dining,Dine-out
Citrus Cafe - Lemon Tree Hotel,3.9,285,"North Indian, Continental, South Indian","Fish, Burgers, Omelette, Pasta, Salads, Dal Makhani, Breakfast Buffet",Electronic City,No,Fine Dining,Dine-out
Mesa Deli - Svenska Design Hotel,3.2,9,"North Indian, Italian",,Electronic City,Yes,Casual Dining,Dine-out
Mesa Lounge Bar - Svenska Design Hotel,3.5,49,"North Indian, Pizza, Asian, Italian",,Electronic City,No,Lounge,Delivery
Sky Lounge Bar - Svenska Design Hotel,4,537,"North Indian, Pizza, Asian, Italian","Cocktails, Biryani, Noodles, Beer, Garlic Bread, Tea, Pizza",Electronic City,Yes,"Bar, Casual Dining",Drinks & nightlife
Soul Indian Specialty - Svenska Design Hotel,3.7,266,"North Indian, South Indian, Asian, Italian, Continental","Cocktails, Pasta, Fish, Dal Makhani, Salads, Coffee, Babaganush",Electronic City,Yes,Fine Dining,Buffet
Fishing Boat - Hotel Goyal Residency,3.9,418,"Seafood, North Indian, Chinese, Biryani","Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast",Electronic City,Yes,Casual Dining,Delivery
Republic Of Noodles - Lemon Tree Hotel,4.3,385,"Singaporean, Chinese, Thai, Malaysian","Noodles, Banana Leaf Fish, Dumplings, Phad Thai, Apple Fritters, Clear Soup, Brownie",Electronic City,No,Casual Dining,Dine-out
Millers 46,4.4,2266,"American, Continental, Steak","Steak, Chicken Wings, Burgers, Bacon Burger, Cocktails, Lime Soda, Chicken Burger",Vasanth Nagar,No,Casual Dining,Dine-out
20 Feet High,4,933,"American, Continental, Steak, Salad","Burgers, Mocktails, Pasta, Cocktails, Beef Steak, Lunch Buffet, Chicken Steak",Church Street,Yes,"Casual Dining, Bar",Delivery
Soul Cafe,3.9,315,"Cafe, Continental, Italian","Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Beer",MG Road,No,Cafe,Dine-out
New Leaf Restaurant,3.7,59,Chinese,Hot Pot,Indiranagar,Yes,Casual Dining,Delivery
The Rice Bowl,4.3,500,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Lavelle Road,Yes,"Casual Dining, Bar",Delivery
Fat Buddha,4,456,"Chinese, Thai","Crab Soup, Noodles, Wine, Spicy Crabmeat Soup, Manchow Soup, Momos, Sea Food",Cunningham Road,Yes,Casual Dining,Delivery
Elements Eatery,4,608,"Continental, Steak","Mocktails, Soda Pops, Pasta, Pudding, Clear Soup, Chicken Steak, Chips",Frazer Town,No,Casual Dining,Delivery
Green Theory,4.3,2840,"Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade",Residency Road,Yes,"Casual Dining, Cafe",Delivery
Byblos,4.2,1347,"Lebanese, Arabian, Middle Eastern, Salad, Beverages","Pita Bread, Shawarma, Falafel, Baklava, Chicken Kebab, Rice Pudding, Fattoush",Indiranagar,Yes,Casual Dining,Delivery
Pulimunchi,4.3,688,"Mangalorean, Seafood","Murgh Ghee Roast, Neer Dosa, Sea Food, Tender Coconut Souffle, Crab Ghee Roast, Fish, Prawn Ghee Roast",Indiranagar,Yes,Casual Dining,Delivery
Indian Durbar - Conrad Bengaluru,3.9,49,North Indian,Biryani,Ulsoor,No,Fine Dining,Dine-out
Tandoor,3.9,1362,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",MG Road,Yes,Fine Dining,Delivery
Tiger Trail - Ramada Hotel,4,188,"North Indian, Lucknowi","Biryani, Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani",Shivajinagar,Yes,"Casual Dining, Bar",Buffet
Pind Balluchi,4,1022,"North Indian, Mughlai","Palak Paneer, Mango Lassi, Panner Tikka, Veg Platter, Dal Makhani, Chicken Rara, Malai Tikka",Brigade Road,Yes,Casual Dining,Delivery
Ebony,4.3,3135,"North Indian, South Indian","Appam, Khao Suey, Rabri, Chicken Biryani, Kebab Platter, Prawn, Pad Thai",MG Road,Yes,Casual Dining,Delivery
BISO - Citrus Hotels,3.9,158,"North Indian, South Indian, Italian, Continental","Fish, Peas Pulao, Naan, Kulcha",Cunningham Road,No,Casual Dining,Dine-out
Panchavati Gaurav Thali,4,929,"Rajasthani, Gujarati","Veg Thali, Dahi Vada, Malpua, Rajasthani Thali, Rabri, Buttermilk, Jalebi",Brigade Road,Yes,Casual Dining,Delivery
Fish Factory-Citrus Hotel,3.9,39,Seafood,,Cunningham Road,No,Fine Dining,Dine-out
Maravanthe,4.4,691,"Seafood, Mangalorean","Neer Dosa, Sea Food, Fish, Murgh Ghee Roast, Anjal Masala Fry, Mutton Biryani, Prawn Ghee Roast",Indiranagar,Yes,Casual Dining,Delivery
Thai Chy,4.3,378,"Thai, Asian, Indonesian","Noodles, Watermelon Mint Mojito, Rendang Curry, Laksa, Dimsum Platter, Spinach Corn Cheese, Phad Thai",Indiranagar,Yes,Casual Dining,Delivery
The Tao Terraces,4,1913,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Jumbo Prawns, Veg Sushi, Espresso Martini, Tom Yum Soup",MG Road,Yes,Casual Dining,Delivery
Tapout Tavern,4.1,326,"American, Asian, Continental, North Indian, South Indian, Chinese","Cocktails, Noodles, Chips, Shephards Pie, Lamb, Pizza, Mocktails",Sarjapur Road,Yes,"Casual Dining, Pub",Dine-out
Mayur,3.7,20,"Andhra, North Indian, Chinese, Seafood",,Hosur Road,Yes,Casual Dining,Delivery
Samaikya,3.9,533,"Andhra, Seafood, Biryani","Andhra Thali, Mutton Biryani, Mutton Fry, Lassi, Chicken Curry, Ragi Mudde, Ulavacharu",HSR,Yes,Casual Dining,Dine-out
Spice It - Ibis Hotel,3,74,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",Pasta,Bommanahalli,No,Casual Dining,Desserts
Hangover,4.3,797,"Asian, Continental, Finger Food","Cocktails, Long Island Iced Tea, Paneer Lababdar, Keema Pav, Nachos, Peri Peri Fries, Beer",HSR,Yes,"Bar, Casual Dining",Pubs and bars
Bistro Claytopia,4.1,1847,"Cafe, American, Italian, Burger","Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich",Koramangala 1st Block,Yes,Cafe,Dine-out
Still Sipping,0,0,"Cafe, Continental, Coffee",,HSR,Yes,Cafe,Dine-out
Grapevine,4.1,733,"Cafe, Continental, Italian, Beverages, Mediterranean","Wine, Pizza, Brownie, Pasta, Souvlaki, Tiramisu, Mezze Platter",HSR,Yes,Cafe,Delivery
Caffe Pascucci,4.1,720,"Cafe, Continental, Pizza, Italian, Beverages","Pizza, Coffee, Pasta, Sandwiches, Chicken Lasagne, Pepper Chicken, Bruschettas",HSR,Yes,Cafe,Desserts
Amour Fine Patisserie,4,82,"Cafe, Desserts, Continental","Macaroon, Coffee, Cappuccino, Pinacolada, Ferrero Rocher, Latte",HSR,Yes,"Cafe, Dessert Parlor",Dine-out
The Grub Central,4,803,"Cafe, Italian, Continental","Barbeque Chicken Pizza, Paneer Pizza, Burgers, Crispy Chicken, Aglio Olio Pasta, Chicken Wings, Calzone",HSR,Yes,Cafe,Delivery
Keep It Straight Cafe,3.9,202,"Cafe, North Indian, Fast Food","Coffee, Tea, Pasta Alfredo, Chai, Burgers, White Sauce Pasta, French Fries",HSR,Yes,Cafe,Cafes
TBC Sky Lounge,4.7,6745,"Continental, Asian, Italian, North Indian","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food",HSR,No,"Casual Dining, Bar",Dine-out
Xtreme Sports Bar,4,942,"Continental, Chinese, North Indian","Lunch Buffet, Boti Kebab, Beer, Potato Wedges, Gulab Jamun, Pizza, Club Sandwich",Sarjapur Road,Yes,Pub,Delivery
Baar Union,4.6,634,"Continental, Finger Food, Asian, Chinese","Masala Peanuts, Onion Rings, Cocktails, Biryani, Veg Momos, Pinacolada, Pakoda",HSR,No,"Bar, Pub",Drinks & nightlife
OPUS Club,4.5,1506,"Continental, Italian, North Indian, Mexican","Biryani, Cocktails, Nachos, Mocktails, Long Island Iced Tea, Pasta, Paneer Tikka",Sarjapur Road,No,Pub,Delivery
Stark Bistro,3.6,30,"Continental, North Indian, Chinese, Burger, Pizza, Salad",,HSR,Yes,Casual Dining,Dine-out
Safe House,4.1,1372,"Continental, North Indian, Chinese, Finger Food","Prawn, Masala Peanuts, Honey Chilli Potatoes, Craft Beer, Mushroom Noodles, Cocktails, Pizza",HSR,No,"Bar, Casual Dining",Dine-out
Snow'ora,4.3,342,"Desserts, Ice Cream, Beverages","Bingsu, Mocktails, Custard, Chocolate Oreo, Sandwiches, Brownie, Korean Ice Cream",Koramangala 4th Block,Yes,Quick Bites,Delivery
Napoli Italian Bistro,4.1,1060,"Italian, Mexican, Continental, Pizza","Pasta, Pizza, Chocolate Bomb, Wine, Ginger Lime Mojito, Tiramisu, Watermelon Mojito",HSR,Yes,"Casual Dining, Bar",Dine-out
Ziyan's Cafe 27th,4,60,Kerala,,HSR,No,Quick Bites,Delivery
Suryawanshi,4.5,125,"Maharashtrian, Seafood","Misal Pav, Chicken Chatpata, Shrikhand, Puran Poli, Vada, Mutton Thali, Kokum Sharbat",Sarjapur Road,Yes,Casual Dining,Delivery
Parika Multicuisine & Coastal Fine Dine,3.9,602,"Mangalorean, Seafood, North Indian, Chinese","Sea Food, Fish, Prawn Curry, Crab Masala, Prawn Gassi, Naan, Neer Dosa",HSR,Yes,Casual Dining,Dine-out
The Colony Gastropub,4.1,512,"Modern Indian, Continental","Cocktails, Pizza, Mutton Curry, Bruschettas, Chilli Mushroom, Veg Starter, Long Island Iced Tea",HSR,No,"Casual Dining, Bar",Dine-out
Silbatti,4,1551,North Indian,"Mojito, Orange Lemonade, Masala Shikanji, Lassi, Dahi Kebab, Chicken Wings, Biryani",HSR,No,Casual Dining,Delivery
Atithi,3.9,224,"North Indian, Chinese, Street Food","Vegetable Biryani, Jalebi, Paneer Curry, Tandoori Paneer, Paneer Tikka, Gulab Jamun, Paratha",HSR,Yes,Casual Dining,Buffet
Vintage Shack,3.9,161,"North Indian, Continental","Panna Cotta, Murgh Makhani, Pasta, Lemonade, Chicken Biryani, Kulcha, Naan",HSR,Yes,"Casual Dining, Lounge",Dine-out
Cirkus,4.3,331,"North Indian, Continental, Fast Food, Beverages, Pizza","Cocktails, Chicken Bbq Wings, Pasta, Feta Salad, Mocktails, Peri Peri Chicken Steak, Thai Green Curry",HSR,No,"Bar, Casual Dining",Pubs and bars
Moti Mahal Delux,4,558,"North Indian, Mughlai","Butter Chicken, Kadhai Paneer, Tawa Chicken, Murgh Lababdar, Dal Makhani, Vegetable Biryani, Palak Paneer",HSR,Yes,Casual Dining,Delivery
Zero Mile Punjab,4.1,1338,"North Indian, Mughlai","Lassi, Chicken Curry, Chicken Malai Tikka, Butter Chicken, Panner Tikka, Butter Naan, Jeera Rice",HSR,Yes,Casual Dining,Dine-out
The Buffet Table,0,0,"North Indian, Pan Asian, Chinese, Italian, Continental, South Indian","Gajar Ka Halwa, Gulab Jamun, Vanilla Ice Cream, Fish, Salad, Chicken Biryani, Tomato Soup",HSR,No,Casual Dining,Buffet
Seven Ate Nine,0,0,"North Indian, Steak, South Indian",,HSR,Yes,Casual Dining,Delivery
Chaat Trail By Moti Mahal,3.9,46,"Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani","Chaat, Chole Bhature, Pav Bhaji, Gulab Jamun, Bhel Puri, Paneer Pakora",HSR,Yes,Quick Bites,Dine-out
Cafe Felix,4.4,689,"American, Cafe, Continental","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad",MG Road,Yes,"Casual Dining, Cafe",Delivery
Kobe Sizzlers,4.1,1473,"American, Continental, Fast Food, Steak","Sizzler Brownie, Ice Tea, Paneer Steak, Sangria, Momos, Pizza, Tomato Soup",Indiranagar,Yes,Casual Dining,Dine-out
Big Pitcher,4.7,9021,"American, Continental, North Indian, Mediterranean","Beer, Cocktails, Tiramisu, Tawa Chicken, Mocktails, Chicken Satay, Sea Food",Old Airport Road,No,"Pub, Microbrewery",Buffet
BabaYaga's,4.1,201,"American, Finger Food","Cocktails, Masala Fries, Chicken Wings, Beer, Onion Rings, Pizza, Nachos",Indiranagar,Yes,"Bar, Casual Dining",Dine-out
Cafe Ritzz,3.7,39,"American, Finger Food, Italian, Mexican",,Indiranagar,No,Casual Dining,Dine-out
Jimi's Beer Cafe,3.9,815,"American, North Indian, Chinese","Beer, Beef Steak, Potato Wedges, Burgers, Nachos, Chilli Pork, Masala Peanuts",Indiranagar,No,Bar,Pubs and bars
Shebestan - Sterlings MAC Hotel,4.2,405,Arabian,"Salads, Tabbouleh, Mutton Curry, Falafel, Pasta, Kheer, Lunch Buffet",Old Airport Road,No,Casual Dining,Buffet
China Bistro & Lounge,4.4,83,"Asian, Chinese, Thai, Korean","Cocktails, Sushi, Lobster Dumplings, Cheesecake",Indiranagar,Yes,Casual Dining,Dine-out
The Mad Teapot,4.1,289,Cafe,"Tea, Pasta, Sandwiches, Hot Chocolate, Sandwich, Pizza, Spaghetti",Indiranagar,No,Cafe,Dine-out
Django,4,210,"Cafe, Italian, Pizza, Burger, Beverages","Burgers, Pizza, Coffee, Peri Peri Chicken Wings, Beef Burger, Mango Salad, Chicken Burger",Indiranagar,Yes,Cafe,Dine-out
Blistering Barnacles,3.9,1214,"Chinese, Continental, American, Steak","Strawberry Mojito, Cocktails, Chicken Momo, Caramel Custard, Long Island Iced Tea, Spring Roll, Tortilla Chips",Indiranagar,No,Pub,Pubs and bars
Barebones - The Balcony Bar,4.2,2445,"Chinese, Continental, Finger Food, Italian","Chips, Lamb, Cocktails, Wedges, Roast Chicken, Pizza, Margarita",Indiranagar,No,"Bar, Casual Dining",Drinks & nightlife
20 Char - Sterlings MAC Hotel,4,419,"Chinese, Continental, North Indian, South Indian, Arabian","Rasmalai, Pizza, Fish, Mutton Curry, Salads, Virgin Mojito, Noodles",Old Airport Road,Yes,"Casual Dining, Bar",Pubs and bars
Xian,3.9,81,"Chinese, Thai",Noodles,Ulsoor,Yes,Casual Dining,Delivery
Ginseng - Royal Orchid Hotel,4,170,"Chinese, Thai, Asian","Fish Chilli, Tea, Lamb, Thai Wok Chicken",Old Airport Road,No,Fine Dining,Dine-out
Ice - Taj MG Road Bengaluru,4.1,609,Continental,"Cocktails, Paneer Tikka, Beer",MG Road,No,Club,Drinks & nightlife
Doff Pub and Lounge,4.1,1341,"Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai","Beer, Cocktails, Pasta, Chicken Lollipop, Jalapeno Cheeseballs, Nachos, Chicken Fingers",Indiranagar,No,Lounge,Dine-out
1131 Bar + Kitchen,4.6,2785,"Continental, Asian, Italian, North Indian","Pizza, Chocolate Cake, Cocktails, Beer, Nachos, Sangria, Mocktails",Indiranagar,No,"Bar, Casual Dining",Pubs and bars
Yomama!!,4,340,"Continental, Burger, Cafe, Steak","Burgers, Steak, Pancakes, Beef Burger, Oreo Thick Shakes, Chicken Juicy Burger, Pasta",Indiranagar,Yes,Quick Bites,Dine-out
Power House Pitstsa,0,0,"Continental, Burger, Desserts, Sandwich, Italian, Pizza, Bakery, Salad",,Indiranagar,No,Casual Dining,Dine-out
Bottle & Glass,4,973,"Continental, Chinese, Italian","Bbq Chicken Pizza, Cocktails, Sangria, Beer, Chicken Nachos, Mai Thai, Burgers",Indiranagar,No,"Bar, Casual Dining",Pubs and bars
Head O State,3.8,198,"Continental, Chinese, North Indian","Cocktails, Beer",Indiranagar,No,"Casual Dining, Bar",Drinks & nightlife
The Twisted Desi,0,0,"Continental, Italian, North Indian, Chinese",,Indiranagar,Yes,Casual Dining,Dine-out
Lono,4.2,172,"Continental, Modern Indian","Cocktails, Pizza, Mocktails, Jalapeno Nuggets, Chicken Tikka, Fish Grill, Steak",Indiranagar,No,"Lounge, Casual Dining",Delivery
Limelight - Royal Orchid Hotel,4,421,"Continental, North Indian","Sea Food, Pizza, Coffee, Biryani, Chaat, Fish, Pasta",Old Airport Road,No,Fine Dining,Dine-out
Loveshack,4,1724,"Continental, Pizza, North Indian, Goan, Burger, Cafe","Corn Balls, Cocktails, Mocktails, Sunday Brunch, Fish, Chicken Wings, Nachos",Domlur,No,"Lounge, Cafe",Dine-out
The Black Rabbit,4.3,4187,"Continental, Salad, Burger, Finger Food, Pizza","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Custard, Pepperoni Pizza, Peri Peri Chicken",Indiranagar,No,"Bar, Casual Dining",Drinks & nightlife
Food Coma,0,0,"Continental, Seafood, Biryani, Desserts, North Indian, Chinese, Bakery, Kebab",,Indiranagar,No,Casual Dining,Dine-out
BTDT? Been There Done That,4.3,879,"European, Continental, Asian, Finger Food","Cocktails, Momos, Pizza, Roti, Mocktails, Nachos, Fish",Indiranagar,No,"Bar, Casual Dining",Drinks & nightlife
XU,4,427,"European, Spanish, Continental, Italian","Cocktails, Biryani, Pizza, Veg Sushi Platter, Salads, Cheesecake, Lamb Chops",Old Airport Road,No,"Club, Casual Dining",Drinks & nightlife
Inntense Restobar,0,0,"Finger Food, Continental, North Indian, Pizza, Burger",,Indiranagar,No,"Bar, Casual Dining",Drinks & nightlife
Le Cirque Signature - The Leela Palace,4.3,126,"French, Italian","Wine, Asparagus Soup, Creme Brulee, Pasta, Ravioli, Tiramisu, Primavera",Old Airport Road,No,Fine Dining,Dine-out
The Pizza Bakery,4.8,1724,"Italian, Pizza, Beverages","Pizza, Garlic Bread, Beer, Tiramisu, Vanilla Ice Cream, Ravioli, Coffee Ice Cream",Indiranagar,Yes,Casual Dining,Desserts
Jonah's,4.1,1827,"Italian, Seafood, American, Continental","Pizza, Cocktails, Pasta, Mushroom Soup, Panna Cotta, Mocktails, Sandwich",Indiranagar,Yes,"Casual Dining, Bar",Dine-out
Fort Kochi,4.1,334,"Kerala, Seafood","Sea Food, Appam, Fish, Kerala Parotta, Sangria, Paratha, Cocktails",MG Road,No,"Casual Dining, Bar",Pubs and bars
Mamma Mexicana,2.2,406,Mexican,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",MG Road,Yes,Casual Dining,Dine-out
The Kebab Room - Restaurant & Brewery,4,773,"Mughlai, North Indian","Biryani, Beer, Phirni, Paneer Tikka, Raita, Dahi Ke Kebab, Fish",Indiranagar,No,"Casual Dining, Microbrewery",Dine-out
Zaica Dine & Wine,4,1013,North Indian,"Chocolate Pani Puri, Butter Chicken, Gajar Halwa, Keema Pav, Mocktails, Raj Kachori, Biryani",Indiranagar,Yes,Casual Dining,Dine-out
Tiger Trail - Royal Orchid Hotel,4.1,303,North Indian,"Dahi Kebab, Nalli Nihari, Lamb, Rich Chicken Broth, Tashkent Naan, Paneer Tikka, Aam Panna",Old Airport Road,No,Fine Dining,Dine-out
Dhaba - Estd 1986 Delhi,4.4,1420,North Indian,"Gajar Halwa, Shikanji, Kheer, Lunch Buffet, Dal Makhani, Panner Tikka, Butter Chicken",Indiranagar,Yes,"Casual Dining, Bar",Pubs and bars
Delhi Highway,4.5,3219,North Indian,"Kheer, Dum Aloo Kashmiri, Lunch Thali, Dahipuri, Tandoori Mushrooms, Buttermilk, Lassi",Indiranagar,Yes,Casual Dining,Delivery
The Punjabi Rasoi,4.1,2008,North Indian,"Lassi, Bhindi Masala, Chicken Butter Masala, Dal Makhani, Achari Paneer, Chicken Bharta, Malai Kofta",Indiranagar,No,Casual Dining,Dine-out
Urban Tamaasha,4.1,840,"North Indian, Chinese, Continental","Virgin Mojito, Pasta Alfredo, Mocktails, Mutton Boti Kebab, Chelo Kebab, Diwani Handi, Dragon Rolls",Indiranagar,Yes,Casual Dining,Dine-out
Bflat Bar,3.9,854,"North Indian, Chinese, Continental, Bengali","Biryani, Cocktails, Mushroom Pasta, Dragon Chicken, Beer, Noodles, Steak",Indiranagar,No,Lounge,Dine-out
Swing,3.8,201,"North Indian, Chinese, Mangalorean","Chicken Wings, Murgh Ghee Roast, Paneer Tikka",Indiranagar,No,"Casual Dining, Bar",Drinks & nightlife
