Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
Tanoor Tandoori,0,0,"North Indian, Mughlai, Chinese, Kebab, Biryani",,Bellandur,Yes,Delivery,Delivery
Veg Rasoi,4,99,"North Indian, Rajasthani",,HSR,Yes,Delivery,Delivery
North Indian Rasoi,0,0,"North Indian, Rajasthani",,Koramangala 1st Block,No,"Takeaway, Delivery",Delivery
Kushal's Kitchen,0,0,"North Indian, South Indian",,Bommanahalli,No,Casual Dining,Dine-out
RJ Tiffin Service,0,0,"North Indian, South Indian",,HSR,No,"Takeaway, Delivery",Delivery
Snaiksa Foods,0,0,"North Indian, South Indian",,HSR,No,Quick Bites,Dine-out
Skywalk Restobar,3.3,5,"North Indian, South Indian",,Koramangala 1st Block,No,"Casual Dining, Bar",Pubs and bars
Tanu Di's Kitchen,0,0,"North Indian, South Indian, Bengali",,Koramangala 1st Block,Yes,Quick Bites,Dine-out
Loukya Veg Restaurant,0,0,"North Indian, South Indian, Chinese",,Bommanahalli,No,Quick Bites,Dine-out
Vijayawada Style,3.2,22,"North Indian, South Indian, Chinese",,Bommanahalli,Yes,Delivery,Delivery
Anand Delhi Se,0,0,"North Indian, South Indian, Chinese",,HSR,No,Quick Bites,Dine-out
Shiny Veg Kitchen,0,0,"North Indian, South Indian, Chinese",,HSR,No,Quick Bites,Dine-out
SSignature,0,0,"North Indian, South Indian, Chinese",,HSR,No,Casual Dining,Dine-out
Rang De Basanthi,3.7,434,"North Indian, South Indian, Chinese","Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken",Koramangala 4th Block,Yes,Quick Bites,Delivery
Akshaya Bar And Restaurant,0,0,"North Indian, South Indian, Chinese, Fast Food",,Koramangala 1st Block,Yes,"Casual Dining, Bar",Dine-out
The Food Therapy,0,0,"North Indian, South Indian, Continental, Chinese",,Koramangala 1st Block,No,"Casual Dining, Bar",Dine-out
Village Cafe Bangalore,0,0,"North Indian, South Indian, Kerala, Chinese",,Bommanahalli,No,Quick Bites,Dine-out
KafeKombos,3.5,16,"North Indian, South Indian, Oriya",,HSR,Yes,"Takeaway, Delivery",Delivery
Tea Trails,0,0,"North Indian, Tea, Fast Food",,HSR,Yes,Casual Dining,Delivery
Brunch Pizza,0,0,Pizza,,HSR,No,"Takeaway, Delivery",Delivery
Pizza Palace,0,0,"Pizza, Fast Food",,Bommanahalli,Yes,Quick Bites,Dine-out
Lost in Pizza,3.1,4,"Pizza, Fast Food",,HSR,Yes,Takeaway,Delivery
NY Pizza And Waffles,3.3,11,"Pizza, Fast Food",,Sarjapur Road,Yes,Quick Bites,Delivery
Oliver Wraps,3.1,8,"Rolls, Fast Food",,HSR,Yes,"Takeaway, Delivery",Delivery
Aroma Cafe,0,0,"Rolls, Sandwich",,HSR,No,Quick Bites,Dine-out
Zing Roll,0,0,"Rolls, Sandwich",,HSR,Yes,Quick Bites,Dine-out
Freshies Gourmet Salads,3.7,17,"Salad, Healthy Food",,HSR,Yes,"Takeaway, Delivery",Delivery
Geetha Cafe,3,12,South Indian,,Bommanahalli,No,Quick Bites,Dine-out
Nagappa Naidu Hotel,0,0,South Indian,,Bommanahalli,No,Quick Bites,Dine-out
Halli Mane Badoota Hotel,0,0,South Indian,,Electronic City,Yes,Quick Bites,Dine-out
Basava Bhavana (B2),0,0,South Indian,,HSR,No,Quick Bites,Dine-out
Just Dosa,3.7,34,South Indian,,HSR,No,Quick Bites,Dine-out
Ranjitha Food Court,0,0,South Indian,,HSR,No,"Takeaway, Delivery",Delivery
Shree Upahara Veg,0,0,South Indian,,HSR,No,Quick Bites,Dine-out
Sri Upahara,0,0,South Indian,,HSR,No,Quick Bites,Dine-out
UK Foods,0,0,South Indian,,HSR,No,Delivery,Delivery
Hotel Tanish,3.7,15,South Indian,,HSR,Yes,Quick Bites,Delivery
Krishna Grand,3.2,42,South Indian,,HSR,Yes,Quick Bites,Dine-out
Pavan Tiffin Center,3.3,8,South Indian,,HSR,Yes,Quick Bites,Delivery
Sree Bangalore Bhavan,3.7,44,South Indian,,HSR,Yes,Quick Bites,Delivery
Hotel Atithi North Karnataka Mess,0,0,South Indian,,Koramangala 1st Block,No,Quick Bites,Dine-out
Shri Nandi sagar,0,0,South Indian,,Koramangala 1st Block,No,Quick Bites,Dine-out
Davanagere Benne Dose,3.9,106,South Indian,Benne Dosa,HSR,Yes,Quick Bites,Dine-out
Idli & Dosa Cafe,2.6,91,South Indian,"Coffee, Vada, Rava Masala Dosa, Upma",HSR,No,Quick Bites,Dine-out
Raghavendra Tiffin,4.4,222,South Indian,"Idli Sambar, Bisi Bele Bhaath, Podi Masala Dosa, Tea, Filter Coffee, Curd Rice, Vada",HSR,No,Quick Bites,Dine-out
Panchamuki Fastfood,3.5,12,"South Indian, Beverages",,HSR,No,Quick Bites,Dine-out
Trio Dosa Connect,0,0,"South Indian, Beverages",,HSR,Yes,Quick Bites,Dine-out
Bengaluru Donne Biriyani,0,0,"South Indian, Biryani",,HSR,No,Quick Bites,Delivery
Hotel SRV,0,0,"South Indian, Biryani",,HSR,No,Quick Bites,Dine-out
SS Food Point,0,0,"South Indian, Biryani",,HSR,No,Quick Bites,Dine-out
Kakatiya's,3.1,6,"South Indian, Biryani",,HSR,Yes,Quick Bites,Dine-out
Shankar Maanes Kitchen,3.8,33,"South Indian, Biryani, North Indian",,HSR,Yes,Quick Bites,Delivery
Olives Restaurant,0,0,"South Indian, Chinese, North Indian",,HSR,Yes,Quick Bites,Dine-out
Urvashi,0,0,"South Indian, Chinese, Seafood, Biryani",,HSR,Yes,Casual Dining,Dine-out
